,title,price,link,imgurl
10,ASUS Vivobook S14 OLED Intel EVO H-Series Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home)...,"₹69,990",/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itm93afec5862d72?pid=COMGCG2GXGJGEYUW&lid=LSTCOMGCG2GXGJGEYUWI64YYF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7yaaB01k8ixLrsLK-684qwLpsukM8V8I2knDP3_TpoKxg%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/h/z/-original-imagqdrxngpdcjzh.jpeg?q=70
11,"ASUS Vivobook 16X (2023) For Creator, Intel H-Series Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows...","₹87,990",/asus-vivobook-16x-2023-creator-intel-h-series-core-i7-12th-gen-12650h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-60-hz-k3605zc-mbn751ws-gaming-laptop/p/itme96e5ed7d82de?pid=COMGPNG44NGSUNW6&lid=LSTCOMGPNG44NGSUNW6257O6J&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7wEFp42Sc2ZGl_KyhKwMg-EiC6OqMcdMjafubVyRD340w%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/t/c/-original-imagsz6yn8qzwvsn.jpeg?q=70
12,Lenovo IdeaPad 1 Athlon Dual Core 7120U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light Lapt...,"₹28,640",/lenovo-ideapad-1-athlon-dual-core-7120u-8-gb-512-gb-ssd-windows-11-home-15amn7-thin-light-laptop/p/itm920ecb24fc5b6?pid=COMGSB23REP7G84N&lid=LSTCOMGSB23REP7G84N5VMCYP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGSB23REP7G84N.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/i/e/15amn7-thin-and-light-laptop-lenovo-original-imagsvykgkecffgr.jpeg?q=70
13,Infinix INBook Y1 Plus Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and...,"₹25,990",/infinix-inbook-y1-plus-intel-core-i3-10th-gen-1005g1-8-gb-512-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itma8f08afb687ea?pid=COMGMM3HXJC3TYYH&lid=LSTCOMGMM3HXJC3TYYHA4PPBX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGMM3HXJC3TYYH.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70
14,HP 255 G9 840T7PA Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Thin and Light Laptop,"₹19,860",/hp-255-g9-840t7pa-athlon-dual-core-3050u-4-gb-256-gb-ssd-dos-g8-thin-light-laptop/p/itm443a85ce1b43f?pid=COMGJ5TZFKZTRBSX&lid=LSTCOMGJ5TZFKZTRBSXHMJRRH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGJ5TZFKZTRBSX.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/u/a/255-g8-notebook-hp-original-imagjhbj4jf3pjdy.jpeg?q=70
15,Acer Nitro 5 (2023) Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,"₹68,990",/acer-nitro-5-2023-ryzen-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-an515-47-gaming-laptop/p/itm6b6fadc1c8219?pid=COMGZT6ZQBZVEWCW&lid=LSTCOMGZT6ZQBZVEWCWFAKDSH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGZT6ZQBZVEWCW.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/m/m/an515-47-gaming-laptop-acer-original-imagzuardhu6zwdd.jpeg?q=70
16,Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows ...,"₹26,990",/wings-nuvobook-s1-aluminium-alloy-metal-body-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-wl-nuvobook-s1-grn-thin-light-laptop/p/itma074a71804e83?pid=COMGQHYFTMAKHBAN&lid=LSTCOMGQHYFTMAKHBANLB0BWS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7znTqIMPOoHbCYGZ70NB7MS1Um-plkf35XyVVYOYQEirg%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/2/o/-original-imagtq47azeytzzg.jpeg?q=70
17,ASUS Vivobook 15 Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home) M1502QA-EJ741WS Thin an...,"₹49,990",/asus-vivobook-15-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-m1502qa-ej741ws-thin-light-laptop/p/itmbc825d8a33486?pid=COMGZKHQMRTUJH3J&lid=LSTCOMGZKHQMRTUJH3JRMYCKU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_PfaSkp5zjOXnF5g6D22IbUpzCM-5flcFbR4j4dvKf7wtsLSt-Qbow38-J2_CPUA4RbInzF0KhvGUmUs7FtdyBw%3D%3D&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/o/s/-original-imagtvq875zegz7z.jpeg?q=70
18,realme Book (Slim) Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light...,"₹36,999",/realme-book-slim-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itma836bc7914a97?pid=COMG5YDPYEB7ZAKK&lid=LSTCOMG5YDPYEB7ZAKKVEOVUY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMG5YDPYEB7ZAKK.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70
19,Infinix X2 Slim Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL23 Thin and Light...,"₹33,990",/infinix-x2-slim-intel-core-i5-11th-gen-1155g7-16-gb-512-gb-ssd-windows-11-home-xl23-thin-light-laptop/p/itmfe13fe1d2db69?pid=COMGPU47AJBR4HSF&lid=LSTCOMGPU47AJBR4HSFTRFILN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=c990881b-3358-4d7e-880a-12d52c0fd50b.COMGPU47AJBR4HSF.SEARCH&ppt=None&ppn=None&ssid=rq7yfaudzk0000001701074932910&qH=c06ea84a1e3dc3c6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/w/s/inbook-thin-and-light-laptop-infinix-original-imagpyjbxe3auzcp.jpeg?q=70
